Failure Type,Pattern,Service,Experiment Begin,Experiment End,Failure Begin,Failure End,Note,Folder Name,Disruption
CPU Stress,Constant (100%),userapi,2023-05-01T19:57:42+02:00,2023-05-01T23:06:08+02:00,2023-05-01T20:29:30+02:00,2023-05-01T22:29:30+02:00,,day-8-constant-cpu-stress-userapi,50
Memory Stress,Constant (320M),userapi,2023-05-07T22:10:45+02:00,2023-05-08T01:10:44+02:00,2023-05-07T22:41:00+02:00,2023-05-08T00:41:00+02:00,,day-8-constant-memory-stress-userapi,50
Network Delay,Constant (3s),userapi,2023-04-21T21:01:35+02:00,2023-04-22T00:01:34+02:00,2023-04-21T21:32:00+02:00,2023-04-21T23:32:00+02:00,,day-8-constant-network-delay-userapi,50
Network Loss,Constant (75%),userapi,2023-04-21T17:25:08+02:00,2023-04-21T20:53:12+02:00,2023-04-21T17:55:00+02:00,2023-04-21T19:55:00+02:00,,day-8-constant-network-loss-userapi,50
Network Corrupt,Constant (85%),userapi,2023-05-06T11:37:00+02:00,2023-05-06T14:46:58+02:00,2023-05-06T12:08:00+02:00,2023-05-06T14:08:00+02:00,,day-8-constant-network-corrupt-userapi,50
CPU Stress,Linear,userapi,2023-04-24T16:56:15+02:00,2023-04-24T19:55:04+02:00,2023-04-24T17:27:00+02:00,2023-04-24T19:27:00+02:00,,day-8-linear-cpu-stress-userapi,50
Network Corrupt,Linear,userapi,2023-05-04T20:56:40+02:00,2023-05-05T00:05:29+02:00,2023-05-04T21:28:00+02:00,2023-05-04T23:28:00+02:00,,day-8-linear-network-corrupt-userapi-2,50
Network Loss,Linear,userapi,2023-04-25T11:26:24+02:00,2023-04-25T14:25:37+02:00,2023-04-25T11:57:00+02:00,2023-04-25T13:57:00+02:00,,day-8-linear-network-loss-userapi,50
Memory Stress,Linear,userapi,2023-05-08T17:18:11+02:00,2023-05-08T20:18:04+02:00,2023-05-08T17:49:00+02:00,2023-05-08T19:49:00+02:00,,day-8-linear-memory-stress-userapi,50
Network Delay,Linear,userapi,2023-05-12T11:37:39+02:00,2023-05-12T14:37:03+02:00,2023-05-12T12:08:00+02:00,2023-05-12T14:08:00+02:00,,day-8-linear-network-delay-userapi,50
Network Corrupt,Linear,userapi,2023-05-08T20:47:23+02:00,2023-05-08T23:46:44+02:00,2023-05-08T21:18:00+02:00,2023-05-08T23:18:00+02:00,,day-8-linear-network-corrupt-userapi,50
Network Delay,Linear,userapi,2023-05-10T17:53:32+02:00,2023-05-10T20:53:31+02:00,2023-05-10T18:24:00+02:00,2023-05-10T20:24:00+02:00,,day-8-linear-network-delay-userapi-2,50
Memory Stress,Linear,userapi,2023-05-12T18:59:09+02:00,2023-05-12T21:58:58+02:00,2023-05-12T19:30:00+02:00,2023-05-12T21:30:00+02:00,,day-8-linear-memory-stress-userapi-051218,50
Network Delay,Linear,userapi,2023-05-13T08:12:06+02:00,2023-05-13T11:11:51+02:00,2023-05-13T08:42:30+02:00,2023-05-13T10:42:30+02:00,,day-8-userapi-linear-network-delay-051308,50
Network Delay,Linear,userapi,2023-05-13T22:51:18+02:00,2023-05-14T01:50:58+02:00,2023-05-13T23:21:30+02:00,2023-05-14T01:21:30+02:00,,day-8-userapi-linear-network-delay-051322,50
Network Delay,Linear,userapi,2023-05-15T08:10:05+02:00,2023-05-15T11:09:48+02:00,2023-05-15T08:40:30+02:00,2023-05-15T10:40:30+02:00,,day-8-linear-network-delay-userapi-051508,50
Network Loss,Linear,userapi,2023-05-14T17:57:13+02:00,2023-05-14T20:57:07+02:00,2023-05-14T18:28:00+02:00,2023-05-14T20:28:00+02:00,,day-8-linear-network-loss-userapi-051417,50
CPU Stress,Linear,userapi,2023-05-15T16:45:58+02:00,2023-05-15T19:45:45+02:00,2023-05-15T17:16:00+02:00,2023-05-15T19:16:00+02:00,,day-8-linear-cpu-stress-userapi-051516,50
Network Loss,Constant,userapi,2023-05-15T12:30:44+02:00,2023-05-15T15:30:45+02:00,2023-05-15T13:01:00+02:00,2023-05-15T15:01:00+02:00,,day-8-constant-network-loss-userapi-051512,50